id,name,full_name,owner_login,owner_type,html_url,description,homepage,language,topics,license_key,license_name,default_branch,created_at,updated_at,pushed_at,size_kb,stargazers_count,forks_count,open_issues_count,watchers_count,has_issues,has_wiki,has_pages,is_template,archived,disabled,visibility,allow_forking,network_count,subscribers_count
83222441,system-design-primer,donnemartin/system-design-primer,donnemartin,User,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,,Python,design;design-patterns;design-system;development;interview;interview-practice;interview-questions;programming;python;system;web;web-application;webapp,other,Other,master,2017-02-26T16:15:28Z,2025-08-23T00:34:56Z,2025-05-21T11:13:33Z,11239,317093,51910,514,317093,True,True,False,False,False,False,public,True,,
177736533,996.ICU,996icu/996.ICU,996icu,User,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://996.icu,,,other,Other,master,2019-03-26T07:31:14Z,2025-08-22T20:25:35Z,2025-08-22T06:01:29Z,189351,274131,21069,16697,274131,False,False,False,False,False,False,public,True,,
21289110,awesome-python,vinta/awesome-python,vinta,User,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://awesome-python.com/,Python,awesome;collections;python;python-framework;python-library;python-resources,other,Other,master,2014-06-27T21:00:06Z,2025-08-23T00:28:22Z,2025-07-17T16:35:51Z,6839,256246,26175,487,256246,False,False,True,False,False,False,public,True,,
36633370,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,Organization,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,https://awesome-selfhosted.net/,,awesome;awesome-list;cloud;free-software;hosting;privacy;self-hosted;selfhosted,other,Other,master,2015-06-01T02:33:17Z,2025-08-23T00:33:44Z,2025-08-22T08:51:14Z,16591,243194,11264,0,243194,True,False,False,False,False,False,public,True,,
88011908,project-based-learning,practical-tutorials/project-based-learning,practical-tutorials,Organization,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,,,beginner-project;cpp;golang;javascript;project;python;tutorial;webdevelopment,mit,MIT License,master,2017-04-12T05:07:46Z,2025-08-23T00:32:18Z,2024-08-15T05:33:54Z,438,240665,31477,238,240665,True,True,False,False,False,False,public,True,,
10270250,react,facebook/react,facebook,Organization,https://github.com/facebook/react,The library for web and native user interfaces.,https://react.dev,JavaScript,declarative;frontend;javascript;library;react;ui,mit,MIT License,main,2013-05-24T16:15:54Z,2025-08-23T00:29:12Z,2025-08-23T00:37:40Z,1103781,238323,49179,1026,238323,True,False,True,False,False,False,public,True,,
11730342,vue,vuejs/vue,vuejs,Organization,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",http://v2.vuejs.org,TypeScript,framework;frontend;javascript;vue,mit,MIT License,main,2013-07-29T03:24:51Z,2025-08-22T22:38:54Z,2024-10-10T07:24:15Z,32152,209292,33741,602,209292,True,True,False,False,False,False,public,True,,
63476337,Python,TheAlgorithms/Python,TheAlgorithms,Organization,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,https://thealgorithms.github.io/Python/,Python,algorithm;algorithm-competitions;algorithms-implemented;algos;community-driven;education;hacktoberfest;interview;learn;practice;python;searches;sorting-algorithms;sorts,mit,MIT License,master,2016-07-16T09:44:01Z,2025-08-22T21:58:07Z,2025-08-22T21:16:56Z,15440,204274,47350,445,204274,True,True,True,False,False,False,public,True,,
2325298,linux,torvalds/linux,torvalds,User,https://github.com/torvalds/linux,Linux kernel source tree,,C,,other,Other,master,2011-09-04T22:48:12Z,2025-08-23T00:20:52Z,2025-08-22T22:20:33Z,5657344,200475,57406,488,200475,False,False,False,False,False,False,public,True,,
126577260,javascript-algorithms,trekhleb/javascript-algorithms,trekhleb,User,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,,JavaScript,algorithm;algorithms;computer-science;data-structures;interview;interview-preparation;javascript;javascript-algorithms,mit,MIT License,master,2018-03-24T07:47:04Z,2025-08-23T00:22:45Z,2025-02-12T16:19:59Z,13564,193058,30849,368,193058,True,False,False,False,False,False,public,True,,
45717250,tensorflow,tensorflow/tensorflow,tensorflow,Organization,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,https://tensorflow.org,C++,deep-learning;deep-neural-networks;distributed;machine-learning;ml;neural-network;python;tensorflow,apache-2.0,Apache License 2.0,master,2015-11-07T01:19:20Z,2025-08-23T00:25:31Z,2025-08-23T00:40:51Z,1193581,191279,74785,1485,191279,True,False,False,False,False,False,public,True,,
19415064,computer-science,ossu/computer-science,ossu,Organization,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,,HTML,awesome-list;computer-science;courses;curriculum,mit,MIT License,master,2014-05-04T00:18:39Z,2025-08-23T00:32:11Z,2025-07-17T02:38:25Z,1766,190823,23824,15,190823,True,True,True,False,False,False,public,True,,
138393139,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,trimstray,User,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,,awesome;awesome-list;bsd;cheatsheets;devops;guidelines;hacking;hacks;howtos;linux;lists;manuals;one-liners;pentesters;resources;search-engines;security;security-researchers;sysops,mit,MIT License,master,2018-06-23T10:43:14Z,2025-08-23T00:28:47Z,2024-11-19T14:00:38Z,1748,183291,11399,99,183291,False,False,False,False,False,False,public,True,,
14440270,You-Dont-Know-JS,getify/You-Dont-Know-JS,getify,User,https://github.com/getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.,,,async;book;book-series;closures;education;es2015;es6;javascript;learn-to-code;programming;prototypes;training-materials;training-providers,other,Other,2nd-ed,2013-11-16T02:37:24Z,2025-08-23T00:05:17Z,2025-05-20T14:22:36Z,15060,183006,33658,125,183006,True,False,False,False,False,False,public,True,,
121395510,CS-Notes,CyC2018/CS-Notes,CyC2018,User,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,http://cyc2018.xyz,,algorithm;computer-science;cpp;interview;java;leetcode;python;system-design,,,master,2018-02-13T14:56:24Z,2025-08-22T20:26:50Z,2024-08-21T09:40:10Z,116179,181537,51166,189,181537,True,True,True,False,False,False,public,True,,
