Owner,Name,Stars,Url,CreatedAt,IdadeAnos
goldbergyoni,nodebestpractices,104169,https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,8.00
facebook,create-react-app,103713,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,9.17
GrowingGit,GitHub-Chinese-Top-Charts,102665,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,6.00
godotengine,godot,101648,https://github.com/godotengine/godot,2014-01-04T16:05:36Z,11.67
DigitalPlatDev,FreeDomain,101362,https://github.com/DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,1.33
microsoft,terminal,100379,https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,8.08
deepseek-ai,DeepSeek-V3,99459,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,0.75
microsoft,generative-ai-for-beginners,99308,https://github.com/microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2.25
fatedier,frp,99103,https://github.com/fatedier/frp,2015-12-21T15:24:59Z,9.75
rustdesk,rustdesk,99017,https://github.com/rustdesk/rustdesk,2020-09-28T15:36:08Z,5.00
angular,angular,98948,https://github.com/angular/angular,2014-09-18T16:12:01Z,11.00
papers-we-love,papers-we-love,98679,https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,11.75
Hack-with-Github,Awesome-Hacking,98368,https://github.com/Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,9.50
iptv-org,iptv,97431,https://github.com/iptv-org/iptv,2018-11-14T22:00:57Z,6.83
tauri-apps,tauri,96926,https://github.com/tauri-apps/tauri,2019-07-13T09:09:37Z,6.17
mui,material-ui,96688,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,11.08
ant-design,ant-design,96207,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,10.42
shadcn-ui,ui,95583,https://github.com/shadcn-ui/ui,2023-01-04T12:43:27Z,2.67
Anduin2017,HowToCook,94373,https://github.com/Anduin2017/HowToCook,2020-02-29T10:43:49Z,5.58
nvbn,thefuck,94177,https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,10.42
